description, number of labeled training points, classification accuracy, number of unlabeled training points, reconstruction accuracy
unregularized, 5, 0.30140000581741333, None, None
regularized autoencoder 60000, 5, 0.10100000351667404, 60000, 0.8033745884895325
unregularized, 5, 0.2946999967098236, None, None
regularized autoencoder 60000, 5, 0.0982000008225441, 60000, 0.8033745884895325
unregularized, 5, 0.3107999861240387, None, None
unregularized, 10, 0.3646000027656555, None, None
unregularized, 30, 0.5047000050544739, None, None
unregularized, 30, 0.559499979019165, None, None
regularized autoencoder 60000, 30, 0.11349999904632568, 60000, 0.8018350601196289
unregularized, 30, 0.5440000295639038, None, None
regularized, 30, 0.49869999289512634, 30, 0.7940453290939331
unregularized, 30, 0.5141000151634216, None, None
regularized, 30, 0.47380000352859497, 30, 0.795650064945221
unregularized, 100, 0.6687999963760376, None, None
regularized, 100, 0.6830999851226807, 30, 0.7958402633666992
unregularized, 30, 0.484499990940094, None, None
regularized, 30, 0.41609999537467957, 100, 0.8046102523803711
unregularized, 100, 0.6837000250816345, None, None
regularized, 100, 0.6398000121116638, 1000, 0.8008300065994263
unregularized, 100, 0.6818000078201294, None, None
regularized, 100, 0.6783000230789185, 10, 0.7950059771537781
unregularized, 100, 0.671999990940094, None, None
regularized, 100, 0.6639000177383423, 100, 0.8023002743721008
unregularized, 100, 0.6868000030517578, None, None
regularized, 100, 0.6703000068664551, 100, 0.7995272278785706
unregularized, 100, 0.6682999730110168, None, None
regularized, 100, 0.5690000057220459, 100, 0.8038413524627686
unregularized, 100, 0.6816999912261963, None, None
regularized, 100, 0.6413999795913696, 100, 0.7935364842414856
unregularized, 20, 0.505299985408783, None, None
regularized, 20, 0.4399000108242035, 500, 0.7997696995735168
unregularized, 20, 0.5396000146865845, None, None
regularized, 20, 0.45329999923706055, 500, 0.8034264445304871
unregularized, 20, 0.5353999733924866, None, None
regularized, 20, 0.5099999904632568, 500, 0.7994421124458313
unregularized, 500, 0.8335999846458435, None, None
regularized, 500, 0.7360000014305115, 30, 0.8015526533126831
unregularized, 20, 0.5023999810218811, None, None
regularized, 20, 0.4275999963283539, 30, 0.793574869632721
unregularized, 100, 0.6687999963760376, None, None
unregularized, 100, 0.6840000152587891, None, None
unregularized, 100, 0.6865000128746033, None, None
unregularized, 100, 0.6801000237464905, None, None
unregularized, 100, 0.5583000183105469, None, None
regularized, 100, 0.28290000557899475, 500, 0.7987680435180664
